Product,Positive%,Negative%
avery174 11-1/4 x 9-1/4 index maker extra wide label dividers with 5 tab - clear (5 sets per pack),100.0,0.0
meguiar's ultimate quik detailer 22-oz.,100.0,0.0
heiress (dvd),100.0,0.0
black sister's revenge (dvd),100.0,0.0
"iman second to none stick foundation, clay 1",100.0,0.0
tim holtz retractable craft pick-red 6x.5,100.0,0.0
naturtint nutrideep multiplier protective cream,100.0,0.0
sea gull lighting holman one light wall/bath sconce - brushed nickel,100.0,0.0
citrus magic instant spot & stain remover,100.0,0.0
roommates no place like home peel stick wall decals,100.0,0.0
sea gull lighting ceiling fan - white,100.0,0.0
tostitos original restaurant style tortilla chips,100.0,0.0
voortman sugar free fudge chocolate chip cookies,100.0,0.0
doc mcstuffins: friendship is the best medicine,100.0,0.0
jnh lifestyles goldstar 3 person far infrared sauna,100.0,0.0
romantic drama: greatest classic films collection 2 discs,100.0,0.0
ambi complexion cleansing bar,100.0,0.0
leslie sansone:belly blasting walk (dvd),100.0,0.0
progresso traditional chicken rice with vegetables soup,100.0,0.0
alberto vo5 salon series smooth plus sleek shampoo,100.0,0.0
cantu coconut milk shine hold mist - 8oz,100.0,0.0
"pleasant hearth 1,800 sq ft wood burning stove with blower, medium, lws-127201",100.0,0.0
"batherapy natural mineral bath sport liquid, 16 oz",100.0,0.0
"ogx conditioner, hydrating teatree mint",100.0,0.0
disney174 jake and the neverland pirates 4 piece bedding set - toddler,100.0,0.0
nearly natural 5.5' bamboo w/decorative planter,100.0,0.0
wilton black dots standard baking cups,100.0,0.0
"pinaud clubman styling gel, superhold",100.0,0.0
concept housewares 36 natural wood ceiling mounted pot rack,100.0,0.0
"smead174 2 1/4 inch accordion expansion wallet, poly, letter, translucent green",100.0,0.0
walkers stem ginger shortbread,100.0,0.0
care free curl gold instant activator,100.0,0.0
"jergens extra moisturizing liquid hand wash, 7.5oz",100.0,0.0
maybelline clean express! makeup removing lotion,100.0,0.0
ceiling fan with light white 14.2 x 29.9 x 9.2 - hunter fan,100.0,0.0
pearhead id bracelet frame,100.0,0.0
cal lighting led dark bronze finish metal piano lamp,100.0,0.0
various - red hot blue:tribute to cole porter (cd),100.0,0.0
d-con mice bait station - 3ct,100.0,0.0
various - country's greatest gospel:gold ed (cd),100.0,0.0
"bodycology nourishing body cream, pretty in paris",100.0,0.0
"carson-dellosa publishing photographic learning cards boxed set, nouns/verbs/adjectives, grades k-12",100.0,0.0
sea gull lighting six light bath sconce/vanity - brushed nickel,100.0,0.0
pink friday: roman reloaded re-up (w/dvd),100.0,0.0
bill glor gaither - church in the wildwood (cd),100.0,0.0
"rc cola, 12oz",100.0,0.0
"42 dual drop leaf table with 2 madrid chairs""",100.0,0.0
blue anchor design throw pillow (18x18) - rizzy home,100.0,0.0
starbucks153 doubleshot protein coffee - 11 fl oz,100.0,0.0
"dermalogica special cleansing gel, 8.4oz",100.0,0.0
pacific natural foods organic beef broth,100.0,0.0
kohler 10280-4 fort bath spout with sculpted lift rod and 1/2-in npt connection,100.0,0.0
noosa honey yogurt,100.0,0.0
reebok classic leather running shoes - white (men),100.0,0.0
stacy's garden veggie medley pita chips,100.0,0.0
lite source basic ii 1-lt floor lamp - dark bronze,100.0,0.0
"j.r. watkins hand cream, lemon cream",100.0,0.0
chips deluxe soft 'n chewy cookies,100.0,0.0
starbucks iced expresso classics vanilla latte coffee beverage - 40oz,100.0,0.0
pleasant hearth diamond fireplace screen - espresso,100.0,0.0
jolly time select premium yellow pop corn,100.0,0.0
mill creek aloe vera & paba lotion,100.0,0.0
king ralph (dvd),100.0,0.0
j.a. henckels international 4-pc everedge plus steak knife set,100.0,0.0
craft punch giga scallop circle 45 24687534 to 334,100.0,0.0
nature's path chunky chocolate peanut chewy granola bars,100.0,0.0
southern enterprises archer fold-away home bar in walnut,100.0,0.0
fantasy fields lil' sports fan step stool - teamson,100.0,0.0
yes to carrots nourishing body wash,100.0,0.0
germ guardian174 elite 3-in-1 pet pure true hepa air purifier ac4300bptca,100.0,0.0
"candy pink plastic cups, 20 pk",100.0,0.0
"the seaweed bath co. argan conditioner, smoothing citrus",100.0,0.0
tramontina ceramica 10 piece cookware set - red,100.0,0.0
charcoal stone toothbrush holder gray,100.0,0.0
"colorganics lipstick, cayenne",100.0,0.0
every man jack pomade signature mint scent,100.0,0.0
"2x ultra era with oxi booster, 50fl oz",100.0,0.0
